日期|Capture|Part|Segment|IR张数|起始时间(s)
4_27|with_cameras_capture_20260427_151113|with_cameras_capture_20260427_151113_part000_2026-04-27-15-11-25|segment_000_000076.000_000102.000|391|000
4_27|with_cameras_capture_20260427_151113|with_cameras_capture_20260427_151113_part000_2026-04-27-15-11-25|segment_001_000112.000_000203.000|1286|001
4_27|with_cameras_capture_20260427_151113|with_cameras_capture_20260427_151113_part001_2026-04-27-15-15-25|segment_000_000022.000_000074.000|751|000
4_27|with_cameras_capture_20260427_151113|with_cameras_capture_20260427_151113_part001_2026-04-27-15-15-25|segment_001_000085.000_000090.000|84|001
4_27|with_cameras_capture_20260427_151124|with_cameras_capture_20260427_151124_part000_2026-04-27-15-11-31|segment_000_000078.000_000108.000|415|000
4_27|with_cameras_capture_20260427_151124|with_cameras_capture_20260427_151124_part000_2026-04-27-15-11-31|segment_001_000184.000_000189.000|79|001
4_27|with_cameras_capture_20260427_151124|with_cameras_capture_20260427_151124_part000_2026-04-27-15-11-31|segment_002_000199.000_000205.000|84|002
4_27|with_cameras_capture_20260427_151124|with_cameras_capture_20260427_151124_part000_2026-04-27-15-11-31|segment_003_000210.000_000215.000|65|003
4_27|with_cameras_capture_20260427_165128|with_cameras_capture_20260427_165128_part000_2026-04-27-16-51-35|segment_000_000078.000_000083.000|76|000
4_27|with_cameras_capture_20260427_165128|with_cameras_capture_20260427_165128_part000_2026-04-27-16-51-35|segment_001_000106.000_000235.000|1825|001
4_27|with_cameras_capture_20260427_165128|with_cameras_capture_20260427_165128_part001_2026-04-27-16-55-38|segment_000_000000.000_000170.000|2405|000
4_27|with_cameras_capture_20260427_165128|with_cameras_capture_20260427_165128_part001_2026-04-27-16-55-38|segment_001_000175.000_000193.000|261|001
4_27|with_cameras_capture_20260427_165128|with_cameras_capture_20260427_165128_part002_2026-04-27-16-59-43|segment_000_000052.000_000060.000|127|000
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part000_2026-04-27-17-56-57|segment_000_000183.000_000229.000|626|000
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part001_2026-04-27-18-01-06|segment_000_000017.000_000241.000|2873|000
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part002_2026-04-27-18-05-14|segment_000_000000.000_000104.000|1308|000
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part002_2026-04-27-18-05-14|segment_001_000107.000_000114.000|87|001
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part002_2026-04-27-18-05-14|segment_002_000220.000_000232.000|171|002
4_27|with_cameras_capture_20260427_175645|with_cameras_capture_20260427_175645_part003_2026-04-27-18-09-22|segment_000_000000.000_000055.000|700|000
4_29|with_cameras_capture_20260429_161943|with_cameras_capture_20260429_161943_part000_2026-04-29-16-19-50|segment_000_000062.000_000239.000|2504|000
4_29|with_cameras_capture_20260429_161943|with_cameras_capture_20260429_161943_part000_2026-04-29-16-19-50|segment_001_000244.000_000298.000|784|001
4_29|with_cameras_capture_20260429_161943|with_cameras_capture_20260429_161943_part001_2026-04-29-16-24-58|segment_000_000000.000_000001.500|23|000
4_29|with_cameras_capture_20260429_161943|with_cameras_capture_20260429_161943_part001_2026-04-29-16-24-58|segment_001_000005.000_000010.000|55|001
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part000_2026-04-29-16-47-10|segment_000_000000.000_000212.000|2228|000
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part000_2026-04-29-16-47-10|segment_001_000230.000_000235.000|50|001
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part000_2026-04-29-16-47-10|segment_002_000247.000_000266.000|215|002
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part000_2026-04-29-16-47-10|segment_003_000272.000_000312.000|417|003
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part001_2026-04-29-16-52-31|segment_000_000000.000_000011.000|138|000
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part001_2026-04-29-16-52-31|segment_001_000015.000_000021.000|72|001
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part001_2026-04-29-16-52-31|segment_002_000025.000_000030.000|56|002
4_29|with_cameras_capture_20260429_164703|with_cameras_capture_20260429_164703_part001_2026-04-29-16-52-31|segment_003_000047.000_000059.000|139|003
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part000_2026-04-29-16-59-02|segment_000_000058.000_000151.000|846|000
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part000_2026-04-29-16-59-02|segment_000_000225.000_000309.000|987|000
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part000_2026-04-29-16-59-02|segment_001_000225.000_000309.000|440|001
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part001_2026-04-29-17-04-19|segment_000_000000.000_000119.000|1374|000
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part001_2026-04-29-17-04-19|segment_001_000122.000_000137.000|169|001
4_29|with_cameras_capture_20260429_165854|with_cameras_capture_20260429_165854_part001_2026-04-29-17-04-19|segment_002_000242.000_000247.000|54|002
4_29|with_cameras_capture_20260429_165931|with_cameras_capture_20260429_165931_part000_2026-04-29-16-59-38|segment_000_000039.000_000052.000|176|000
4_29|with_cameras_capture_20260429_165931|with_cameras_capture_20260429_165931_part000_2026-04-29-16-59-38|segment_001_000260.000_000262.000|14|001
4_29|with_cameras_capture_20260429_165931|with_cameras_capture_20260429_165931_part000_2026-04-29-16-59-38|segment_002_000276.000_000288.000|103|002
4_29|with_cameras_capture_20260429_165931|with_cameras_capture_20260429_165931_part000_2026-04-29-16-59-38|segment_003_000305.000_000333.000|295|003
4_29|with_cameras_capture_20260429_165931|with_cameras_capture_20260429_165931_part001_2026-04-29-17-05-19|segment_000_000000.000_000133.000|1304|000
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part000_2026-04-29-18-59-21|segment_000_000000.000_000182.000|2104|000
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part000_2026-04-29-18-59-21|segment_001_000199.000_000201.000|22|001
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part000_2026-04-29-18-59-21|segment_002_000223.000_000236.000|176|002
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part000_2026-04-29-18-59-21|segment_003_000316.000_000320.000|43|003
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part001_2026-04-29-19-04-51|segment_000_000000.000_000006.000|75|000
4_29|with_cameras_capture_20260429_185909|with_cameras_capture_20260429_185909_part001_2026-04-29-19-04-51|segment_001_000207.000_000221.000|147|001
4_29|with_cameras_capture_20260429_195137|with_cameras_capture_20260429_195137_part001_2026-04-29-19-56-49|segment_000_000099.000_000207.000|1805|000
4_29|with_cameras_capture_20260429_195137|with_cameras_capture_20260429_195137_part001_2026-04-29-19-56-49|segment_001_000211.000_000215.000|29|001
4_29|with_cameras_capture_20260429_195137|with_cameras_capture_20260429_195137_part001_2026-04-29-19-56-49|segment_002_000226.500_000231.000|33|002
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part000_2026-04-30-10-11-26|segment_000_000029.000_000034.000|115|000
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part000_2026-04-30-10-11-26|segment_001_000110.000_000120.000|198|001
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part000_2026-04-30-10-11-26|segment_002_000180.000_000191.000|273|002
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part000_2026-04-30-10-11-26|segment_003_000260.000_000281.000|254|003
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part001_2026-04-30-10-16-15|segment_000_000000.000_000059.000|1105|000
4_30|with_cameras_capture_20260430_101120|with_cameras_capture_20260430_101120_part001_2026-04-30-10-16-15|segment_001_000074.000_000079.000|33|001
4_30|with_cameras_capture_20260430_101502|with_cameras_capture_20260430_101502_part000_2026-04-30-10-15-08|segment_000_000000.000_000278.000|6676|000
4_30|with_cameras_capture_20260430_101502|with_cameras_capture_20260430_101502_part001_2026-04-30-10-19-54|segment_000_000096.000_000102.000|167|000
4_30|with_cameras_capture_20260430_150023|with_cameras_capture_20260430_150023_part000_2026-04-30-15-00-29|segment_000_000000.000_000038.000|769|000
4_30|with_cameras_capture_20260430_150023|with_cameras_capture_20260430_150023_part000_2026-04-30-15-00-29|segment_001_000041.000_000073.000|746|001
4_30|with_cameras_capture_20260430_150023|with_cameras_capture_20260430_150023_part000_2026-04-30-15-00-29|segment_002_000075.000_000085.000|250|002
