ant_frame_index,packet_index,net_send_frame,timestamp_hmsm,ref_longitude_deg,ref_latitude_deg,ref_heading_deg,ref_altitude_m,n_high_voltage,n_powerline_segments,n_isolated_objects,n_dense_regions
0,56,101505,55729,118.60113525390625,31.9941349029541,134.10000610351562,0.0,0,0,0,0
1,2529,104045,55732,118.60113525390625,31.9941349029541,133.89999389648438,0.0,0,0,0,0
2,4723,106585,55736,118.60113525390625,31.9941349029541,133.5,0.0,0,0,0,0
3,6773,109125,55739,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
4,8978,111665,55743,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
5,10733,114205,55746,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
6,12697,116745,55750,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
7,14477,119285,55753,118.60113525390625,31.9941349029541,133.60000610351562,0.0,0,0,0,0
8,16284,121825,55757,118.60113525390625,31.9941349029541,133.5,0.0,0,0,0,0
9,18141,124364,55760,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
10,20011,126903,55764,118.60113525390625,31.9941349029541,133.6999969482422,0.0,0,0,0,0
11,21685,129442,55768,118.60113525390625,31.9941349029541,133.60000610351562,0.0,0,0,0,0
12,23633,131981,55771,118.60113525390625,31.9941349029541,133.0,0.0,0,0,0,0
13,25685,134520,55775,118.60113525390625,31.99413299560547,133.6999969482422,0.0,0,0,0,0
14,27754,137059,55778,118.60113525390625,31.99413299560547,133.8000030517578,0.0,0,0,0,0
15,29949,139598,55782,118.60113525390625,31.99413299560547,133.89999389648438,0.0,0,0,0,0
16,32097,142137,55785,118.60113525390625,31.99413299560547,134.10000610351562,0.0,0,0,0,0
17,34225,144676,55789,118.60113525390625,31.99413299560547,134.10000610351562,0.0,0,0,0,0
18,36444,147216,55792,118.60113525390625,31.99413299560547,133.6999969482422,0.0,0,0,0,0
19,38568,149756,55796,118.60113525390625,31.99413299560547,134.10000610351562,0.0,0,0,0,0
20,40545,152296,55799,118.60113525390625,31.99413299560547,132.8000030517578,0.0,0,0,0,0
21,42451,154836,55803,118.60113525390625,31.9941349029541,133.10000610351562,0.0,0,0,5,0
22,44145,157376,55807,118.60113525390625,31.9941349029541,133.10000610351562,0.0,0,0,5,0
23,45966,159916,55810,118.60114288330078,31.99413299560547,85.80000305175781,0.0,0,0,5,3
24,47687,162456,55814,118.60113525390625,31.99413299560547,49.600006103515625,0.0,1,5,12,0
25,49732,164996,55817,118.60114288330078,31.99413299560547,19.199996948242188,0.0,1,5,16,0
26,51519,167536,55821,118.60113525390625,31.99413299560547,15.5,0.0,0,0,24,1
27,53309,170075,55824,118.60114288330078,31.99413299560547,16.300003051757812,0.0,2,8,20,0
28,55226,172614,55828,118.60114288330078,31.99413299560547,15.5,0.0,4,17,14,1
29,57274,175153,55831,118.60114288330078,31.99413299560547,15.199996948242188,0.0,6,28,17,2
30,58955,177692,55835,118.60114288330078,31.99413299560547,18.0,0.0,6,29,18,0
31,60976,180231,55838,118.60113525390625,31.99413299560547,17.599998474121094,0.0,7,31,12,2
32,62981,182770,55842,118.60113525390625,31.99413299560547,17.099998474121094,0.0,6,29,18,1
33,65118,185309,55846,118.60112762451172,31.994096755981445,17.300003051757812,0.0,8,37,15,0
34,66895,187848,55849,118.60108947753906,31.994001388549805,17.199996948242188,0.0,10,50,9,0
35,68659,190387,55853,118.6010513305664,31.99390411376953,17.099998474121094,0.0,10,50,9,1
36,70410,192926,55856,118.60102844238281,31.99384307861328,17.0,0.0,10,50,11,1
37,71946,195465,55860,118.60103607177734,31.993839263916016,17.199996948242188,0.0,7,33,14,2
38,73874,198005,55863,118.60108947753906,31.99382972717285,15.599998474121094,0.0,9,45,16,1
39,75736,200545,55867,118.60118103027344,31.99380874633789,16.099998474121094,0.0,10,52,15,0
40,77341,203085,55870,118.60128021240234,31.993783950805664,13.699996948242188,0.0,10,53,8,0
41,79234,205625,55874,118.60138702392578,31.993759155273438,16.0,0.0,10,53,9,1
42,81097,208165,55877,118.60149383544922,31.993730545043945,15.199996948242188,0.0,10,53,13,2
43,82722,210705,55881,118.60160064697266,31.993703842163086,15.0,0.0,9,48,10,0
44,84383,213245,55885,118.6017074584961,31.99367904663086,14.400001525878906,0.0,10,54,10,1
45,86139,215785,55888,118.60192108154297,31.993633270263672,13.800003051757812,0.0,11,59,10,1
46,87918,218324,55892,118.60192108154297,31.993633270263672,13.800003051757812,0.0,11,59,10,1
47,90077,220864,55895,118.60212707519531,31.993587493896484,12.099998474121094,0.0,10,54,15,0
48,92115,223404,55899,118.60212707519531,31.993587493896484,12.099998474121094,0.0,10,54,15,0
49,94132,225943,55902,118.60222625732422,31.993568420410156,11.300003051757812,0.0,11,59,14,1
50,96247,228482,55906,118.60233306884766,31.993553161621094,9.599998474121094,0.0,11,59,13,0
51,98334,231021,55909,118.6024398803711,31.9935359954834,10.800003051757812,0.0,11,59,14,1
52,100100,233560,55913,118.60254669189453,31.993520736694336,9.300003051757812,0.0,11,59,11,0
53,102130,236099,55916,118.60265350341797,31.993507385253906,9.5,0.0,10,55,11,0
54,103808,238638,55920,118.6027603149414,31.993492126464844,9.400001525878906,0.0,10,55,9,1
55,105676,241177,55924,118.60297393798828,31.99346351623535,10.400001525878906,0.0,11,59,12,0
56,107251,243716,55927,118.60297393798828,31.99346351623535,10.400001525878906,0.0,11,59,12,0
57,109091,246255,55931,118.60307312011719,31.99344825744629,11.099998474121094,0.0,11,59,11,1
58,110862,248795,55934,118.6031723022461,31.993432998657227,4.6999969482421875,0.0,10,55,10,1
59,112929,251335,55938,118.603271484375,31.993423461914062,7.0,0.0,10,55,12,2
60,114947,253875,55941,118.60338592529297,31.9934139251709,7.0,0.0,9,48,18,1
61,116908,256415,55945,118.6034927368164,31.9934024810791,8.5,0.0,9,48,17,2
62,118714,258955,55948,118.60371398925781,31.993377685546875,8.599998474121094,0.0,8,44,15,0
63,120608,261495,55952,118.60382080078125,31.993366241455078,7.6999969482421875,0.0,8,44,12,0
64,122527,264035,55955,118.60382080078125,31.993366241455078,7.6999969482421875,0.0,8,44,12,0
65,124602,266575,55959,118.60392761230469,31.99335479736328,6.8000030517578125,0.0,10,54,12,1
66,125604,269115,55963,118.60403442382812,31.993343353271484,6.400001525878906,0.0,10,53,11,2
67,127229,271654,55966,118.60425567626953,31.993322372436523,5.6999969482421875,0.0,11,57,11,0
68,129188,274193,55970,118.60425567626953,31.993322372436523,5.6999969482421875,0.0,11,57,11,0
69,130580,276732,55973,118.60436248779297,31.99331283569336,5.599998474121094,0.0,11,59,8,1
70,132222,279271,55977,118.60447692871094,31.993303298950195,5.3000030517578125,0.0,11,58,14,0
71,133866,281810,55980,118.60469055175781,31.993282318115234,5.1999969482421875,0.0,11,56,16,0
72,135478,284349,55984,118.60469055175781,31.993282318115234,5.1999969482421875,0.0,11,56,16,0
73,137105,286888,55987,118.60479736328125,31.99327278137207,5.099998474121094,0.0,9,49,14,2
74,138849,289427,55991,118.60488891601562,31.99326515197754,41.80000305175781,0.0,8,45,10,0
75,140365,291966,55994,118.60488891601562,31.99326515197754,41.80000305175781,0.0,8,45,10,0
76,142249,294506,55998,118.60488891601562,31.993263244628906,94.60000610351562,0.0,7,41,9,2
77,144009,297046,56002,118.6048812866211,31.993263244628906,165.89999389648438,0.0,4,23,12,2
78,145933,299586,56005,118.60488891601562,31.993261337280273,-176.20001220703125,0.0,4,23,15,2
79,148037,302126,56009,118.60484313964844,31.993263244628906,-176.5,0.0,3,18,30,1
80,150001,304666,56012,118.60474395751953,31.993268966674805,-176.20001220703125,0.0,5,27,22,1
81,152161,307206,56016,118.60443878173828,31.993288040161133,-175.20001220703125,0.0,5,27,20,2
82,154250,309746,56019,118.60401916503906,31.993328094482422,-172.20001220703125,0.0,1,3,24,2
83,156306,312286,56023,118.60363006591797,31.993370056152344,-171.39999389648438,0.0,1,5,26,2
84,158071,314825,56026,118.60321807861328,31.9934139251709,-172.60000610351562,0.0,0,0,28,2
85,160128,317364,56030,118.60285186767578,31.993467330932617,-167.10000610351562,0.0,1,5,26,1
86,161848,319903,56033,118.60247039794922,31.993534088134766,-168.39999389648438,0.0,4,27,14,2
87,163690,322442,56037,118.60210418701172,31.99359893798828,-167.89999389648438,0.0,3,16,23,2
88,165305,324981,56041,118.60185241699219,31.993642807006836,-168.39999389648438,0.0,3,17,21,2
89,167022,327520,56044,118.60150909423828,31.99372673034668,-169.10000610351562,0.0,2,12,19,0
90,168967,330059,56048,118.6013412475586,31.993812561035156,179.0,0.0,1,7,17,0
91,170829,332598,56051,118.60128784179688,31.993886947631836,154.3000030517578,0.0,1,7,17,0
92,172621,335137,56055,118.60126495361328,31.9940185546875,151.5,0.0,1,7,15,0
93,174715,337676,56058,118.60118865966797,31.994075775146484,153.0,0.0,1,7,13,0
94,176876,340215,56062,118.6011734008789,31.994091033935547,152.1999969482422,0.0,0,0,12,0
